rating,review
3,"I really thought I'd found a great microwave. Yet now this thing only works half the time, despite pushing the button it won't start, even though I've checked the power and connection, the door is closed firmly, the buttons are clean, everything checks out and should work. So we have to open and close the door several times before it'll work."
2,"I purchase for the Brand since have had many items that just seem to do well for me.This is a disappointment functionally for two reasons -1) IT SLIDES all over the counter. Why would ANY OEM build something that will live on a formica counter top with SLICK, unstable supports? I just don't get it.2) Tiny thin, writing on Black, not back lighted - Labeling. Until this product I never needed to turn the big light on in the Kitchen AND put on my glasses. Now I do.The noise put me off a bit when first started up - startled me.All of my other Microwaves, ever, had a fan noise and more of a higher pitch, light hum to it. This one is to me, 3x's as loud, with a low, very textured buzz (not a hum a buzz, buzzing - heavy running sound).It's not the least expensive, not the most costly and since I find price is not always, or even usually an indicator of ""good/not-good"" - I went with brand and reviews.I did read the, or see the reviews that state the same as I say now - NOW I understand - but just didn't ""get it"" until today - wow - what to do.Otherwise, the controls are somewhat intuitive.The times to heat are about the same or the same as on my 1200 watt unit or the prior 900 watt unit. I felt that there was no need to use that much wattage to heat water, or warm food, etc.I was anticipating the inside dimensions being ""tight"", but remain functional for what I experience with other units. So, what I mean, as e.g., is like - I'd love to heat 3 slices of Pizza same time one place as with the room or power with the 1200 watt unit. However, I often wind up doing two or even one slice in order to over all just heat the slice versus getting very ""spotty"" hot/cold not evenly warmed. Slight overlaps of slices never works and actually have burned things when got jammed/not rotate. So, the smaller footprint would seems as a non-issue, or better this way. HOWEVER, as the Manual says, allow for THREE INCHES all around this unit when using, placing it. So, it may not ""functionally"" be a small a footprint as you imagine if don't have that for air/heat which you need to take *seriously!So, anyway, it's a microwave. The door looks safe, will remain safe I hope, not sag, loosen up, etc., ""leak"" as is the warning concerning the - Door. However again, the Non-back lit Control Labels, small font/type and thin/light/hard to see AND that now I have to figure a way to keep it from SLIDING ALL OVER my counter top - SO DANGEROUS even for ""Adults"" - WOW. I looked in the box for some anti-slide thing not installed - none. I mean - where - is a Microwave EVER INSTALLED that is on a NON-SMOOTH, easy to clean, sanitize surface - ""sliddy""? Where - Black+Decker?In my opinion, that miss the mark for what I would otherwise, as first use rate would rate otherwise, 4 or even 5 stars. Then the Buzzing when running thing - is likely something that could be addressed. As with many things I see today now usually has to do with lowering the cost of manufacturing. I deal with mechanical audio and ""hear"" what they've done versus could do to quiet it down substantially.So, I hope that assists someone. Additionally, all in can say if Sliding is an issue, Small Control Labels, and Noise is an issue - take those Reviews to heart to consider - those are issues and wish I did. Yes, I could return it and may - we'll see. Who's to say what the others may be like - so... how much time to spend on this. Returns, especially with something this size are not easy for me to ""get to a shipper"" - so, consider all that is my advice and experience."
1,"For those of you looking for inexpensive microwave. Pay attention to the wattage, there is no power on this unit and it takes forever to heat anything up.So I’m going looking at buying another unit, so in the end I will paying more money than if I noticed the wattage and spent a little more. Don’t make the same mistake I made."
3,"Really like this microwave.  It cooks and heats food thoroughly, (fairly powerful) was a good size to fit in a small kitchen, is easy to operate and attractive .  The only drawback is that whenever I use the unit the interior has a lot of condensation so that I have to wipe out and dry the unit after each use.  Don't want the build up to start to get moldy with the door closed.  Not sure if it is a design flaw or something with my unit."
1,Touch pad did not process the items input. Returned.
3,Doesn't have a handle.  I should have checked before ordering!
2,The interior starting smelling like rotten garbage after a while. Have had to discontinue use.
2,This is a perfect microwave for someone stuck in a Tiny House Nation Episode! RV & Camper owners would love this item! Everyone else buy 1000 watts or more.
3,I wasn't expecting it to be so small a normal size plate can't hardly fit in there smh.However it does the job.
1,"Don’t buy this thing.It was never very good at heating things evenly. Even with the spinning tray, food would warm up unevenly with spots that were ice cold and others that were too hot.The bigger problem: The keypad failed after about 1 year of rather infrequent use. So, now it’s just useless.This thing is JUNK.  Don’t buy it. Spend a little more on a better microwave."
2,"Our old microwave stopped functioning mid-morning and needed something same day delivery. Our older model was fantastic, lasted many years but the same replacement model was not available til later in the week and we couldn't wait that long. I relied on this company reputation for great products but would never buy this brand again-at least in microwaves. It takes much longer to defrost and cook than previous microwave. An item we defrost daily that used to take :45 seconds takes almost two minutes in this and leaves a remaining odor which previous micro didn't. We are stuck with it for now, but as soon as possible will be changing it out for our old brand. Really disappointing."
3,"This unit only has rubber bumpers on the front legs, the back legs are just extruded metal.  This became a real problem when I discovered that all 4 legs are not level with each other.  Hence the unit wobbles 1/4 of an inch!  It naturally rested on the back 2 legs that did not have rubber bumpers on them, leaving only one front leg with a small rubber bumper touching the counter top.  Hence when I tried to open the door the microwave slide all over the place.  Because I did not want to hassle with a return, I did build a cradle for it, and then created a shim to level it out. After an hour of solving the leveling and sliding problem, I tried the microwave out.  Seems to work very well, and heats my coffee almost as fast as my last more powerful microwave.  Let's just hope that the only quality control issue is the lopsided uneven support legs."
1,I ordered this microwave because Amazon recommended it. The control panel buttons didn't work.  I even had a friend come over to try. It just didn't work. I was hard for me to carry it to UPS to return. Very disappointed.
3,"This size of this microwave was perfect for the space I needed. I do not like the power level. It seems I have heat my food for 4 minutes or longer. At 2 minutes just the outside of my food is heated. The middle is always cold. Even liquids that I take out the refrigerator to be heated, I have to start at 4 min"
1,"I just moved into a one room apartment and needed a new microwave so I thought this might've been what I needed but when I got it it takes up like a third of my kitchen shelf space and sounds so loud I could hear it out in the hallway. Already considering a replacementEdit: it's so weak and small I couldn't even put a frozen tv dinner in it without it trying as hard as it can to spin it, only to have it get stuck on the walls because it can barely fit a bowl in it."
3,"The microwave itself works but the packaging foam used for the inside plate protection has to be the dumbest thought process ever. The plate shattered during shipping since the inside foam is too small and still allows the plate to move around. If you do not need a microwave right away and can afford to go through the return trouble until you get a plate that's not broken, Order this!"
2,"It's a fair to decent small microwave.  After 2 years of light use, it started rusting on the inside for no apparent reason.  Now 3 years later it is pretty yucky looking inside.  From the beginning it has taken longer to cook things that I had expected.  Based on the price and the nice way it fits on my counter in my small galley kitchen, it was worth the purchase price, but if you're looking for something that lasts more than a few years or if you're looking to cook bigger items, this may not be it."
2,Stopped working within six months.
3,Nice microwave but received a dented product.
3,The keyboard is hard to press.  It is necessary to fix the microwave oven and press the door button.
1,Doesnt cook food or heat it up even on 30 seconds. Gotta almost add a minute extra for it to work and get warm
2,"I put a bag of microwave popcorn in and hit the popcorn button. I came back in literally two minutes, and the popcorn had burnt and was smoking. What had happened is when the popcorn bag unfolded and was now too big to rotate. The microwave is so small it cannot take a regular bag of popcorn. During the smoking there was damage. Now we are buying the larger microwave.I do think I made a mistake walking away, but I also think a microwave should be able to deal with a popcorn bag."
2,Looks nice and works okay but interior light stopped working in only 1 week!!!!Disappointed
3,The microwave door is too small to handle. The purchase price was too expensive compared to the other brands; similar items. .
1,"Everything was working great until it wasn't. It was used in a two-person household, so it wasn't used outrageously in the 8 months we had it, and it would regularly be cleaned. I've never had a microwave just start sparking and making a grinding noise like this one had, so it was a disappointment to see it happen after only 8 months of use. Off to buy another microwave, definitely not this one again!"
2,"So this review is coming after almost 2 years of ownership.I use the microwave about once a day to heat up coffee or left overs. Its not that powerful so it takes about 2 mins to heat up a cup of coffee and more if you're doing leftovers.Whats not good and the main reason I am posting this review is that the paint or coating on the inside ceiling of the microwave is peeling and falling off.Thankfully I cover my food w a paper towel when heating food up. Im not as thoughtful when heating up liquids. And thats what happened. A piece of the paint or coating got into my coffee.Pics for reference.To be clear, there is no food on the ceiling. That's the breakdown of the covering/paint.I am pretty ocd about cleanliness so its possible the  multi purpose cleaners I use contributed to that. I also use white vinegar. Nevertheless time for a new microwave."
3,Buttons are hard to push.  Not very powerful. Takes a lot of time to reheat any food.
3,Got this smaller microwave for popcorn and such because I wanted to stop myself from cooking in the microwave. It seemed to fit the bill for about a month then started getting fussy. Now about every 3rd or 4th bag of popcorn it does not heat all the way so pops only 1/3 to 1/2 the kernels don't pop so we lose the bag. Don't bother. Look for another brand or model.
1,"My built-in microwave died recently after a verrrrry long life, and finding a replacement was a major ordeal. Because I don’t know how long until I have a new microwave installed, I decided to buy one that was priced low to get me through the wait. I use my microwave every day to reheat things like soup or casseroles. Unfortunately, this Black & Decker is a piece of junk. I can’t even use it for reheating ☹️  Maybe it would work for students in a dorm who just need something to make popcorn or other microwave-ready foods, but it’s useless in an adult kitchen."
1,"We bought this microwave last year and have always had problems with the moisture collection on the door and bottom of the inside. We clean it out regularly and wipe the moisture out, but tonight we discovered that there were maggots growing on the inside of our microwave. So disgusting, don’t know why this microwave has so many good reviews. Do not buy this."
1,Hard to see why this is top rated since it has died after only 15 months.  Sound like it’s going to explode when you turn it on.  I guess  things just don’t last.
3,"I gave it 3 stars because I think it's a decent microwave, and low power consumption.However, it appears to be the same innards as the Farberware in the same price range, and both this microwave and the Farberware have a time-of-day clock that doesn't keep accurate time – the clock is seriously fast.  After a few days, the clock is 8 minutes fast."
3,The first one that came was defective. It wouldn’t open at all so they had to give me a new one which has a ringing noise constantly but overall it does work and do the job
1,While heating up our food in the microwave safe container the side of the microwave caught fire after making a crackle sound and sparked.
3,"I needed a new ME. Wanted something simple. This had good reviews. Small. Affordable. Great. Got it. Worked fine by choosing minutes snd start.  Then it didn’t. Followed book instructions-time, minutes, power, start. Great. Worked. NOW no matter what I choose, power will not come in!  Just counts down like a timer.  Totally frustrated and ready to dig box out of trash and return!"
2,This is a cool buy it works when it’s taken care of…it’s either your food will not be warm after a year or it will stop working in general…I didn’t buy it from Amazon but just saying the brand is giving you what it’s worth. Mines basically stopped working after a year
2,Again..another reason to not buy appliances on line...takes 3 minutes to warm up french toast ..the thing has no power and barely enough space to insert plate
2,"It heats things fine, but gets weirdly wet on the inside, have to wipe it out constantly."
3,"Well, it works. And even bigger-sized plates. I like it, but always have to remind myself to increase the time to cook since it's low wattage. Also, smoke comes out if you leave something in there for more than 2 or so minutes cooking. Not sure if that's a good or bad thing or if my place will ultimately burn down.."
3,Hard to read display without very bright light near. No light to make display easy to see. Ad on site (ref pic) makes it look different than it actually is. Misleading ad and dissapointing. Will return and choose different brand.
2,My only issue is it has a very low power level which it probably states I just didn’t pay attention lol so it takes awhile to heat things up in comparison to my last one !
3,This microwave is very small and not very powerful. I tried defrosting meat it took 15 minutes for a pound of hamburger and forget making quesadillas in it. I would not purchase this again.
1,"I could've gotten a bigger microwave than this for 99$!! It might work good but the size for the price, not worth it I wouldn't recommend unless it's just for a single person."
2,The right size but takes forever to heat anything. Like 6 min for one bowl of pasta.
2,"This microwave looks great and fits perfectly in a small corner in my kitchen. It also JUST fits my largest plates/bowls perfectly. However, it has a couple issues. First, the biggest, is after using it for a couple weeks microwave lunch plates (covered with a paper towel), some spots on the inside walls formed with mold. It seems that the microwave doesn't evacuate steam from the small space well (weak fan or needs to run longer?). After cleaning the inside thoroughly, I've been leaving the door open for 10-15min after each use but expect this to kill the light bulb pretty quick. Second, the buttons can be kinda hard to press and hit or miss on responding depending on where you press."
1,"The internal dimensions listed are not truly accurate, they measure to the recessed bump-out inside the box, not the bottom of the overall internal size. Those measurements only work if you are using some sort of elevated plate with a tall foot. When using a simple FLAT PLATE, the internal dimensions are half an inch narrower than the bump out, which on a microwave this size, makes all the difference.VERY disappointed to receive this item having confirmed that my dinner plate will fit, only to realize the dimensions they provide are not fully accurate and I actually can't fit a dinner plate."
2,"Okay so this microwave does the job, I actually have no complaints about it microwaving food, BUT I've never see this in a microwave, if you microwave anything with moisture or water, when it's done the water condenses all over the inside of the microwave and so there are just drops of water all over the inside, it gets sopping wet and no this is not from overheating water and it exploding, it just does this! And since the moisture just apparently gets stuck there,  the inside begins to smell rancid, it smells like urine. I clean it constantly, I have never had to clean a microwave this many times. It's so odd and gross!"
1,"This is a nice-looking microwave. But that's about it's only good feature.I noticed when I received it that the touch panel was slightly bubbled -- and although it didn't seem to affect the performance, I was afraid that it might in the future. So, I ordered a replacement and it had the exact same problem. After cooking anything, excessive, dripping condensation forms inside the microwave-- and it doesn't dry. The door and turntable were literally dripping wet all the time. Other reviewers have noted the same about this and other Black & Decker microwaves. And within 2 weeks, the power seemed to drop by half. I unfortunately had to return it."
1,I had to return it because it was dented  and the door would not open on the microwave
1,"Had to return, defective/ didn’t work"
3,"glad i bought 1500w inverter, not 1000w as i though would be enough for 700w microwave"
3,I did not realize that 700 W meant I would need to estimate the time needed to be added to instructions on packages.  So my fault that way.
1,"The open-door button broke within 3 months of use, the surface of all buttons started wearing and is now looking very ragged within 6 months of use. Still heats food but not good quality."
1,Hard to get a dinner plate to fit. Complicated to operate.
2,"I have had this microwave for almost 3 years and need to replace. I have read that microwaves are expected to last about 7-8 years(?).  The inside has started peeling/chipping and as a result, rusting. My family has complained that it takes twice as long as other microwaves to heat food (they are comparing it to the onesat their work). Its a bit loud when in use and water tends to build up easily inside , contributing to the rusting going on. I will invest in a better one this time around : /"
2,It had a dent when we first opened it up so returned it.
3,This is not the size I thought this microwave would be it's too small is smaller than the one I had at first
2,Item too small
3,Is has a dent on it
2,"This is a tiny, low-powered microwave, which I was expecting.  I wasn't expecting the paint to start bubbling and peeling within a couple of months, and for the inside to start to rust along the edges.  I've had it for a year and a half now, the the paint is  bubbled and peeling on the top and bottom, and is scraped off where the wheels are for the dish.  It's impossible to clean now, and I plan to replace it.  This was not a good purchase."
3,"I was not sure when I ordered this, I needed a smaller microwave but the power on this one does not seem to be up to par with what my old one was. I am considering returning it and getting a different one."
3,Good for small spaces but weak power
2,"Purchased it as a wedding gift for my cousin. Had it shipped to her,  it was received with scratches and a ding on the front. :("
3,The only thing I dislike is that the controls take a very heavy touch to work
3,This not bad. Not worth $88.Definitely small microwave then normal ones. Better this then none though.
1,"Pros: SizeCons: 1. The control pad is very resistant to being pushed. In order to make a selection, you literally have to hold on to the unit to keep it from sliding away. I admit it's on top of my refrigerator, which is metal, but the level of pressure to engage a control is dumb. I used it on quartzite counter top and it would slide around. Maybe if it's on very rough wood it wouldn't slide around; maybe. 2. When the table is rotating the noise is a wa, wa, wa, wa. Loud enough to be unwanted."
1,I purchased this microwave in Dec 2020.  I live alone and it is not heavily used.  Within a year it started to develop rust inside along the seams even though I was always careful to allow it to dry thoroughly after use.  Now the paint inside the microwave has actually bubbled and will be peeling off.  I don't even know if it is safe to use.  I have had many microwaves in my long life and I have never seen anything like this.  Nor has anyone that I show it too.  I do not recommend that anyone buy this microwave.
3,Smaller than I thought will have to replace for larger size
1,The number pad did not work.
2,"Started beeping and wouldn't stop until I unplugged it, after only 3 days of use.  I returned it and purchased a totally different brand, directly from a brick and mortar store."
2,Too small- a bag of popcorn doesn't have room to turn. Standard plate has to be tipped to one side to fit in. Its a no.
2,It was smaller than I wanted
2,"I ran this microwave more than 15 minutes and it started to melt, it smelled like burning plastic.  buyer beware."
3,Receive microwave with a cracked glass insert.
3,Makes a lot of weird noise. Beeps during run time.
2,"bought this back in 2020, everything works 3 years later. But now I have to throw it out because it is starting to RUST. Around the door and the framing the door rests against."
1,"Smaller than it appears and fits very few things. Takes forever to heat up anything.Over time it builds up moisture. The walls are always wet, there is standing water under the turntable.  All this causes bacteria and mold growth and bad smell. Surprisingly bad microwave."
1,Not enough power
1,"I got it and plugged it in, it turned on but it wouldn't heat anything. I contacted amazon and they wanted me to trouble shoot it. I asked to return it and I was informed that I would have to take it to a facility to ship it out or I could pay to have it picked up from my house. Amazon's been slowly going downhill over the years."
3,"Beware those customers that wanted a stainless steel to match their decor,  this one is BLACK with a silver trimer, Disappointed about that.  I haven't used it yet, I will make another review then."
2,It was too little for my needs.
2,"I wanted a small microwave unit for my counter. I chose Black & Decker because of the brand successes.This is small, but too small for even a bag of microwave popcorn! Also, the buttons are difficult to get to respond. It takes 3 or 4 tries to get what I am pressing entered. And NOISY! OMG! is it noisy! If I could return it, I would but I've had it longer than the return policy allows. The only reason I didn't consider returning it sooner is because I figured the buttons just needed breaking in and I could live with the other issues. But, seriously, the buttons and the noise are driving me crazy!"
3,"I was trying to get a little microwave for simple defrosting and cooking quick frozen meals. Forget this one. Although it is the right size, and quite attractive, the power level is ridiculously low. I donated it after a week or two. My unhappiness with the product had everything to do with my ignorance, and not any fault of manufacturer. Thanks anyway!!"
3,"3.5 rating my be for now.CONS:(1) After 3+ weeks of use, still I see fumes in the oven after use (most of the time).(2) and burn smell sometimes.(3) taking slightly more time than past GE one with same capacity.(4) lesser window-glass view than my last one (of same capacity)(5) the base is not rotating, I need check/research on that why?Pros:Almost same sound as the old one."
2,"Tidy size. I like the appearance. Nice that it fits tall cups even though it doesn't take up much counter space. Easy to use control panel. That said, it just doesn't work that well. Not powerful enough. We need to adjust the cooking time for everything. Even an extra minute is not enough and it heats unevenly. Most annoying was that the microwave popcorn bag kept getting stuck and not popping all the way. We found that the prime heating time was 3 min, whereas our old microwave only needed 1.45 min to pop all the popcorn. Clearly not a deal breaker for everyone, we're just sick of food with cold centers. Sadly, we tolerated it past the return window so are just out the money. Meh"
1,It looks nice and is small for compact spaces. The product broke and is not usuals anymore exactly at the same time the two year warranty expired.
3,Low power takes long time to microwave things and poor performance. NOT RECOMMENDED.
1,"this microwave only lasted 2 years. the paint started to chip after 1 year. Now, finally, after cooking a few items back to back (6-9 min) the interior side of the microwave started to swell into a cancerous growth and turned black. I first thought it was food that exploded and stuck to the side but we always use a plate cover when heating food. when I tried to chip it off it just created a mess and didn't budge. The picture is of its final state before we replaced it. The paint chipping is very concerning alone but this is just horrible!"
2,Didn’t expect it to be so small!!
1,"So I got this a few months ago and noticed it smelled funny when using it, didn't think much of it. Then a few weeks later I started noticing little bugs in the digital timer area, thought,  ok we get ants sometimes maybe they got in there. Then weeks go by and I start seeing roaches around my house particularly in the kitchen area. We've never had roaches before ever. I call the exterminator, explain everything. Exterminator comes opens up the microwave on the side, like took the side off, it was FULL OF ROACH EGGS AND ROACHES!!! Yuck!!!! So this little under microwave ended up costing me $185 for the exterminator to come, then $75/month for the next year to keep treating my house so they don't come back. I really wish Amazon would refund my money and pay my exterminator costs, but who knows. I'm so disgusted and upset over this. After the initial exterminator costs plus the costs of having the roach treatments for the next year this microwave is costing me $1010! Do not buy!"
1,"This product worked fine, until it didn't. It stopped working 11 months & 2 days after the purchase date. It began sparking & there was a burned area on the right-hand side wall. Pretty scary.  That an apparently ""well-made"" appliance like this lasts less than a year is quite disappointing. I don't know if other brands are any better, but I would advise staying away from this one."
3,Very weak low wattage device. Everything takes longer to reheat or cook.
1,"We bought this for my daughter's dorm room in August of 2021...she confirmed nobody has put any metal objects into the microwave.  My wife just visited her in NYC and found out the right-side, interior panel has been sparking consistently so they stopped using it.  I just searched ""spark"" in the comments/reviews and apparently a lot of other consumers are having the same issue.  This could be a MAJOR fire hazard.  Now 4 roommates are out a microwave...$150and it didn't even last 7 months."
2,"This microwave is horrible, 20 minutes to thaw out a pound of meat. Pops half a bag of popcorn then start burning it 2 minutes to warm up a corn dog.  This microwave is no good"
3,"I purchased this in October 2021, it is April 2023, and last night white sparks, buzzing, electrical fire occurred when I tried to heat butter in a microwave safe Pyrex cup. It was very scarey and I pulled the plug immediately. I have melted chocolate, butter, in this Pyrex for years with no problem. The silver metal plate inside has a bumpy burned surface. This appliance is not safe, is one and one-half years old, and I would like a refund, please."
1,I purchased this product not even a year ago and it already broke. I reached out to black + decker who was no help and referred me to the manufacture. I reached out to them and never heard back. I don’t recommend this product or black + decker since they don’t seem to care about their customers.
1,"Noticed it was sweating a lot on the interior and the left side was too hot to touch, only after running for 5 min. No air moving near vents-researched it and apparently the fan is no longer working. Unacceptable for such a short time frame. Choose a different brand."
3,Thought it was much larger
3,The bottom row of numbers doesn’t work.
1,FIRST IT HAD A ODOR  CONSENTING CLEANING FROM THIS ITEM NOW SPARKS CAME FROM IT I WOULD LIKE TO RETURN THIS ITEM THE MONEY PUT BACK ON MY GIFT CARD OR A CHECK FOR THE AMOUNTTHANKING YOU IN ADAVANCE DORIE SHABAZZ
1,"Brand new just received, door won’t open push button wasn't engaging with the plastic fitting to push on the door latch.  Improper installationOf plastic fitting. Wasn't snapped in place.  I found this out after removing cover from microwave. After numerous tries, I was able tO snap the plastic lever back into its correct position. Door button works fine now. It was a hassle,but now I'm not waiting for another microwave!Probably would not buy another Black and Decker."
1,Wouldn’t be so bad if it just died.  However the innard ( upper right hand interior corner) started sparking and then caught fire.  Good thing I was in the kitchen when this happened.
1,"Purchased Nov 2021. Out of warranty I guess. Very troubling it has quit. At first I thought it was some problem with the plates I was using. It worked with some but not others. Never anything metal or gold  rimmed, I know that. .Finally it was clear, the thing is broken. Just a frightening sound. A defective item, although it worked for a year a month."
3,"The microwave is so light and the feet are not sticky.  Pushing any button had it sliding around.  I stuck a huge mousepad under it to fix it.  Um, did anyone test this device?"
2,"I like to microwave popcorn, but when I did this with a brand with large size bags, the edges scorched and burned a hole in the plastic on the right side of the microwave. The bag was too big for this microwave, so much so that the turntable wouldn't turn when it was almost popped so it stood still while continuing to pop. I had to get rid of the microwave, and took it to the Transfer Station to recycle. Be careful!! I now have a larger microwave and it works much, much better!!"
1,Ring was damaged.
1,"Pushing to start are setting times is a issue, you really have to push all buttons hard, setting the clock, big issue have to wait till 10.00 pm to set because the zero button doesn’t work. It’s for memory only."
3,Very weak power. I guess because it is small.
2,"1. I use the microwave mainly for warming up leftovers and meals, and for popcorn.2. I am 80 and the numbers and words are too small to see.3. I could return it, but I've used it for a week and the others won't fit in the space I have for it.4. It looks easy to clean, but I haven't cleaned it yet.At my age, I would definitely buy one with a handle to open the door, as I don't need a child lock."
2,This microwave is very very very weak. It takes several minutes to heat even a small bowl of soup and then sometimes it’s still only luke warm. If I could return this I would.
1,"This microwave is very weak. At the max power level it takes forever to cook something. Ex. Tried to cook a Trader Joe’s frozen meal that said cook on high for 4 min. It took at least 10-15min and was just luke warm. This seems abnormal for a microwave. Also there is something wrong with the design for the grip that holds the glass plate in place on the turntable. No matter how you fidget with it, it comes off the track almost every time. So you have just like your plate randomly in there off the track which makes the spin feature useless or causes spills. I feel like the last one of these I bought had zero problems. Now it’s just a crappy small microwave. You could breathe heavily on something and heat it faster."
3,"When I try to open this thing or push any of the buttons I have to push hard bc the buttons require a lot of force to push then the microwave slips and slides all over the place. Also takes forever to warm up my food. Would not purchase this again, the quality isn’t there."
3,Es algo pequeño y no calienta mucho por el bajo watios
3,It's been about year. The metal is rusting and the plastic on the panel is coming off. Otherwise its functional.
2,I have never used a microwave whose buttons were soooooooo hard to press. literally took all my strength
2,"We were having trouble finding a compact microwave that could accommodate our 11 inch plates. Thought this one would be a winner based on the dimensions listed online. While the interior dimensions were accurate, the actual opening of the door was smaller and the plate could only fit through if heavily tilted. Not exactly what you want for a plate loaded up with food. Outside of this, it seemed to be a fine microwave."
1,This microwave came damaged. The button for the door wasn’t able to go in so the door to the microwave wasn’t able to open. Then I noticed I seen it was damaged.
1,"This microwave is garbage. The labels on the front of the unit are worn off and it sounds off at random after using, clearly on it's way out after 3 months. I've had microwaves last for years but this one needs to be avoided. You'd be much better off buying one for $50.00 at the ""W"" box store. Much more reliable."
3,Had a broken turn wheel
2,Just be sure you know what you're looking for in a microwave. This is small and relatively weak (terrible at popping corn).
